param_gamma,0.01,0.05,0.1,0.5,1.0,10.0
0.001,0.29276054097056486,0.9156722354813046,0.9474940334128878,0.9817024661893395,0.9864757358790772,0.9880668257756563
0.01,0.1797931583134447,0.1797931583134447,0.1797931583134447,0.2275258552108194,0.8058870326173428,0.818615751789976
0.02,0.1511535401750199,0.1511535401750199,0.1511535401750199,0.1511535401750199,0.34606205250596656,0.3818615751789976
0.05,0.10501193317422435,0.10501193317422435,0.10501193317422435,0.10501193317422435,0.12649164677804295,0.1328560063643596
0.1,0.10262529832935562,0.10262529832935562,0.10262529832935562,0.10262529832935562,0.10978520286396182,0.1105807478122514
0.2,0.10182975338106603,0.10182975338106603,0.10182975338106603,0.10182975338106603,0.10342084327764518,0.10421638822593476
0.5,0.23468575974542563,0.23468575974542563,0.23468575974542563,0.23468575974542563,0.10182975338106603,0.10262529832935562
1.0,0.2983293556085919,0.2983293556085919,0.2983293556085919,0.2983293556085919,0.16785998408910105,0.16945107398568018
2.0,0.24025457438345268,0.24025457438345268,0.24025457438345268,0.24105011933174225,0.24105011933174225,0.24105011933174225
5.0,0.11296738265712013,0.11296738265712013,0.11296738265712013,0.11296738265712013,0.11296738265712013,0.11296738265712013
