degree,0.001,0.01,0.05,0.1,0.5,1.0,10.0
1,0.10185185185185185,0.3,0.8888888888888888,0.9314814814814815,0.9740740740740741,0.9796296296296296,0.9796296296296296
2,0.10185185185185185,0.7666666666666667,0.9462962962962963,0.9648148148148148,0.987037037037037,0.987037037037037,0.9851851851851852
3,0.10185185185185185,0.9074074074074074,0.9666666666666667,0.9796296296296296,0.9888888888888889,0.9888888888888889,0.9888888888888889
4,0.21296296296296297,0.9351851851851852,0.9777777777777777,0.9851851851851852,0.987037037037037,0.9851851851851852,0.9851851851851852
5,0.5462962962962963,0.95,0.9796296296296296,0.9851851851851852,0.9833333333333333,0.9833333333333333,0.9833333333333333
6,0.7907407407407407,0.9611111111111111,0.9814814814814815,0.9833333333333333,0.9814814814814815,0.9814814814814815,0.9814814814814815
7,0.8333333333333334,0.9629629629629629,0.9777777777777777,0.975925925925926,0.9814814814814815,0.9814814814814815,0.9814814814814815
8,0.8481481481481481,0.9592592592592593,0.975925925925926,0.9722222222222222,0.975925925925926,0.975925925925926,0.975925925925926
9,0.8648148148148148,0.9518518518518518,0.9722222222222222,0.9722222222222222,0.9740740740740741,0.9740740740740741,0.9740740740740741
