max_depth,min_samples_leaf,train_acc,test_acc
2,8,0.9649,0.9
2,6,0.9649,0.9
2,4,0.9649,0.9
2,2,0.9649,0.9
2,1,0.9649,0.9
5,8,0.9649,0.9
5,6,0.9649,0.9
5,4,0.9649,0.9
5,2,0.9825,0.9667
5,1,1.0,0.9667
10,8,0.9649,0.9
10,6,0.9649,0.9
10,4,0.9649,0.9
10,2,0.9825,0.9667
10,1,1.0,0.9667
15,8,0.9649,0.9
15,6,0.9649,0.9
15,4,0.9649,0.9
15,2,0.9825,0.9667
15,1,1.0,0.9667
None,8,0.9649,0.9
None,6,0.9649,0.9
None,4,0.9649,0.9
None,2,0.9825,0.9667
None,1,1.0,0.9667
