epoch,train_loss,train_acc,test_acc
1,2.237280433177948,0.18734375,0.19125
2,2.0633746767044068,0.2659375,0.4075
3,1.6167833960056306,0.45765625,0.599375
4,1.3496045649051667,0.5521875,0.6675
5,1.2163054770231247,0.61421875,0.740625
6,1.0962282454967498,0.6521875,0.768125
7,1.0200974732637405,0.6834375,0.779375
8,0.9902099674940109,0.69203125,0.80125
9,0.9451402378082275,0.70375,0.796875
10,0.8947323346138001,0.7178125,0.82625
